i,Êtitle,Êtype,Êsubject,Êlevel,ÊmodifiedBy,Êstatus,ÊownerGroup,Êlink,ÊconceptMaps
138,Describing Circular Motion (Lesson 2/3) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c5a5bf2f-1fb7-40b5-9d76-275680837496/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
139,Kinematics - Representing Motion [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/32097000-accc-42a0-ab82-741968e16d60/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
140,Nuclear Fusion and Fission (Lesson 4/4) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/7bdc8b4a-4bd3-4207-9458-9cca94095c30/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
141,Nuclear Fusion and Fission (Lesson 4/4) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/fff64826-ead1-4cb1-9404-d53217b4dbc3/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
142,Physical Quantities and SI units [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b18714c6-be5a-449b-bea5-90523dbfe74e/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
143,What is Physics? [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a716a810-4dab-4fb7-976f-0ec1f366e8b3/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
144,What is Physics? [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/fea11b8c-cac2-41bd-9063-4d5b081ac1c5/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
145,Power and Resistance in a Circuit (Lesson 1/2) [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/bc0e2544-7e2a-482e-b332-ad15040c0cef/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
146,abandoned - Magnetic Fields Produced by Current-Carrying Conductors [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/fd457c4b-44de-43fa-bc7c-8f6cf6ff10cc/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
147,abandoned - Potential Divider [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/247aa735-9181-4f81-9a93-21ad9187f620/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
148,abandoned - Physical quantities [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/47c1c0cc-1cf4-4dce-b2cb-682ce3619901/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
149,abandoned - Nuclear fission and fusion (Lesson 4/4) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c846b616-9c8c-4236-bd90-a80f9c7686f5/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
150,Backup Copy of Radioactive decay (Lesson 3/3) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/00ad97fe-f7c1-4c67-82ef-f983fa7c0734/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
151,"Waves, Energy, and the Inverse-square Law [H2 Physics]",Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",3-Feb-20,Rejected,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/cd46bbc8-ad73-43bd-b9a2-4aa288de925c/cover,Pre-U Physics (H2)  > Modern Physics > Nuclear Physics
