S/N,Title,Address,Phone,Fax,Email
1,Learning Point Mathematics & Science,"301 Upper Thomson Road #02-22/23 Thomson Plaza, 574408",6453 3323  / 6452 3323,6451 3122,enquiries_thomson@learningpoint.com.sg
2,Learning Voyage Education Centre,"Blk 208 Hougang Street 21 #01-209, 530208",9005 6286,,enquiries@learningvoyage.com.sg
3,Learnjoy Education Centre,"Blk 509 Bedok North Street 3 #01-115, 460509",6203 3105,,Youquan5@gmail.com
4,Lejour Education Centre,"Blk 822 Tampines Street 81 #01-186 (2nd Storey), 520822",9837 1898,,support@lejoureducation.com
5,Lemon Tree Learning Centre,"1187 Upper Serangoon Road #02-22 The Midtown, 533971",6970 7769,,sengfei@yahoo.com.sg
6,Leow's Training Centre,"1 Sophia Road #05-10 Peace Centre, 228149",6339 2293,,chrileow68@hotmail.com
7,Lewin Education Centre,"Blk 535 Hougang Street 52 #B1-14, 530535",6386 8867,6386 8861,lewin2@singnet.com.sg
8,Lexue Learning Centre,"Blk 615 Elias Road #01-102, 510615",6581 1556,6581 1556,lexuechineselearningcentre@gmail.com
9,Li Ming Training Centre,"Blk 86 Marine Parade Central #04-314, 440086",6345 7740,,
10,Liberal Arts Education Centre,"19 Jalan Masjid #01-01, 418945",9170 6103,,info@boya.sg
11,Lighthouse Japanese Tutorial Centre,"111 Somerset Road #02-40/41/42/43
 Tripleone Somerset, 238164",6734 4616,6734 2351,lighthouse_sg@singnet.com.sg
12,Lil' But Mighty Education Centre,"(Main) Blk 431 Clementi Avenue 3 #01-326, 120431",8311 6157,,enquiries@lilbutmightyenglish.com
13,Lil' But Mighty Education Centre,"Blk 211 Hougang Street 21 #01-305 (2nd Storey), 530211",6644 1573,,enquiries@lilbutmightyenglish.com
14,Lil' But Mighty Education Centre,"144 Upper Bukit Timah Road #03-31 Beauty World Centre, 588177",8311 6157,,enquiries@lilbutmightyenglish.com
15,Lingo School of Knowledge,"87 Beach Road #03-01 Chye Sing Building, 189695",6253 3320,6352 2290,info@lingo.com.sg
16,LingoAce Academy,"111 Somerset Road #04-01/07 & #04-20/24
 Tripleone Somerset, 238164",9757 3766,,peggy.lim@pplingo.com
17,LiteracyPlus Enrichment Centre,"Blk 41 Holland Drive #01-21, 270041",6777 2468,6777 2460,Edward@literacyplus.com.sg
18,Little Earth Education Centre,"300 Tampines Avenue 5 #05-06 NTUC Income Tampines Junction, 529653",6970 8058,,sales@littleeartheducation.com
19,Little Gems Learning Centre,"271 Bukit Timah Road #02-10 Balmoral Plaza, 259708",6737 0106,6875 3135,littlegemschinese@yahoo.com
20,Little Lories Learning Hub,"Blk 517 Jurong West Street 52 #01-89 (2nd Storey), 640517",6569 6657,,Enrichment.littlelories@gmail.com
1,Little Sparks Montessori and Enrichment Centre,"20 Siglap Drive #01-06 Bowmont Centre, 456192",6876 0198,,
2,Little Star Language Centre,"Blk 603 Clementi West Street 1 #01-32, 120603",6773 8570,6569 6478,wz4112@singnet.com.sg
3,Loh Sheng Tuition Centre,"111 North Bridge Road #05-05 Peninsula Plaza, 179098",6334 4352,,loh_sheng_tuition@yahoo.com.sg
4,Lorna Whiston School of English Language [fka Lorna Whiston Academy],"101 Thomson Road #03-13/19 United Square, 307591",6253 7688,6355 0978,unitedsquare@lornawhiston.com.sg
5,Lorna Whiston School of Speech & Drama [fka Lorna Whiston Speech & Drama Centre],"101 Thomson Road #04-20/21/22 United Square, 307591",6253 7688,6355 0978,speechanddrama@lornawhiston.com.sg
6,Lovely Land Enrichment & Tuition Centre,"Blk 58 Lengkok Bahru #01-511, 150058",6473 7094,6399 4510,lovelyland@kayctan.com
7,Lowrey Music School,"c/o Blk 473 Tampines Street 43 #01-92, 520473",6783 3611,,
8,Lowrey Music School (Serangoon Branch),"Blk 265 Serangoon Central Drive #03-271, 550265",6280 2645,,
9,Mac's Music School,"583 Orchard Road #12-02 Forum Galleria, 238884",6738 9963,6738 8059,admin@macsmusicschool.com
10,Madrasah Al-Arabiah Al-Islamiah,"17/17A Lorong 13, Geylang, 388660",6238 7638,6449 2781,arabiah@madrasah.edu.sg
11,Madrasah Al-Ma'arif Al-Islamiah,"14 Ipoh Lane, 438618",6747 9835,6741 6640,admin@almaarif.edu.sg
12,Madrasah Aljunied Al-Islamiah,"30 Victoria Lane, 198424",6391 5970,6295 6221,aljunied@aljunied.edu.sg
13,Madrasah At-Tahzibiah Al-Islamiah,"15 Jalan Ulu Seletar Sembawang Road, 769227",6454 0848,6457 4770,
14,Madrasah Irsyad Zuhri Al-Islamiah [fka Madrasah Al-Irsyad Al-Islamiah],"277 Braddell Road, 579711",6478 7133,6352 0393,info@irsyad.sg
15,Madrasah Wak Tanjong Al-Islamiah,"589 Sims Avenue, 387600",6741 0131,,mwti@mwtai.edu.sg
16,Mainspring Learning Centre,"(Main) Blk 466A Sembawang Drive #02-315 Spring Lodge, 751466",6483 2760,6483 2760,enquiry@mainspring.com.sg
17,Mainspring Learning Centre,"70 Punggol Central #01-06 Punggol MRT Station, 828868",6483 2760,6483 2760,enquiry@mainspring.com.sg
18,Making Sense Learning Centre,"116 Middle Road #09-02 ICB Enterprise House, 188972",9475 6362,,william@makingsense-sg.com
19,Mandeville Music School,"c/o 101 Thomson Road #03-21 United Square, 307591",6250 1911  / 6251 5505,6250 3216,artistes@pacific.net.sg
20,Manning Music School,"Blk 201D Tampines Street 21 #02-1145, 524201",6781 1333,,
1,Master Class Learning Centre [fka Aphelion Learning Hub],"79 East Coast Road #02-01, 428784",6344 4991,6281 1014,admin@mclass.com.sg
2,Math Academy,"Blk 372 Bukit Batok Street 31 #01-372 (2nd Storey), 650372",9152 9322,,enquiry@mathacademy.sg
3,Math Arena Enrichment Centre,"Blk 488B Tampines Street 45 #B1-147, 521488",6781 9325,,admin@matharena.com.sg
4,Math Mavens Learning Centre,"Blk 4 Queen's Road #02-131, 260004",9830 2827,,twtoon@gmail.com
5,MathConcept Learning Center (SG),"1 Marine Parade Central #08-07 Parkway Centre, 449408",6440 1348,,serenelim@mathconcept.com
6,Mathelogy Learning Hub,"Blk 42 Chai Chee Street #01-50, 461042",9137 5182,,mathelogylh@gmail.com
7,Mathematical Sciences Learning Centre,"46 East Coast Road #10-02 Eastgate, 428766",6346 6879,6344 4193,mathscicentre@singnet.com.sg
8,Mathlete Learning Centre,"1 Marine Parade Central #08-08 Parkway Centre, 449408",6247 7817,,admin@mathlete.com.sg
9,Maths Hub,"Blk 233 Bukit Batok East Avenue 5 #01-33/35, 650233",6425 5448,,enquries@mathshub.com.sg
10,Maths n Science Hub,"(Main) Blk 57 Lengkok Bahru #01-477, 151057",6567 9484,,admin@mathshub.com.sg
11,Maths n Science Hub,"9 One-North Gateway #01-40 One-North Residences, 138643",6635 7156,,maths.buona.vista@gmail.com
12,Maths Rally School,"Blk 347 Bukit Batok Street 34 #01-268, 650347",9106 6234,,mathsrally@gmail.com
13,Mathvision Enrichment Centre,"19 Tanglin Road #07-01A Tanglin Shopping Centre, 247909",8444 2320,,mathvision.com.sg@gmail.com
14,Mavis Tutorial Centre,"(Main) Blk 204 Hougang Street 21 #03-123, 530204",6282 4011,6285 8061,enquiries@mavistutorial.com
15,Mavis Tutorial Centre,"1 Marine Parade Central #08-04 Parkway Centre, 449408",6344 3093,,enquiries@mavistutorial.com
16,Mavis Tutorial Centre,"Blk 739 Bedok Reservoir Road #02-3141, 470739",6241 8145,,enquiries@mavistutorial.com
17,Mavis Tutorial Centre,"Blk 118 Rivervale Drive #02-05 & #02-09/11 Rivervale Plaza, 540118",6881 9071,,enquiries@mavistutorial.com
18,Mavis Tutorial Centre,"10 Sengkang Central #01-03 Buangkok MRT Station, 545061",6886 0768,,enquiries@mavistutorial.com
19,Mavis Tutorial Centre,"1 Sengkang Square #02-56 Compass One, 545078",6386 4118,,enquiries@mavistutorial.com
20,Mavis Tutorial Centre,"Blk 158 Bukit Batok Street 11 #02-216 & #02-218, 650158",6567 5623,,enquiries@mavistutorial.com
1,Mavis Tutorial Centre,"Blk 888 Woodlands Drive 50 #02-733 888 Plaza, 730888",6362 2207,,enquiries@mavistutorial.com
2,Mavis Tutorial Centre,"33 Sengkang West Avenue #B1-01 The Seletar Mall, 797653",6341 6828,,enquiries@mavistutorial.com
3,Mavis Tutorial Centre,"Block 168 Punggol Field #04-07, 820168",6343 8596,,enquiries@mavistutorial.com
4,Maxedge Tuition Centre,"Blk 828 Tampines Street 81 #01-240 (2nd Storey), 520828",9793 0150,,garyscape@hotmail.com
5,MAXIMATH Education Center,"587 Bukit Timah Road #03-31 Coronation Plaza, 269707",9649 9318,,guojiayu@yahoo.com
6,Mdm Theo Learning Space,"Blk 352 Clementi Avenue 2 #01-113, 120352",6779 6751,,theobeeleng@gmail.com
7,MegaForte Learning Centre,"Blk 283 Bishan Street 22 #01-195 (Level 2), 570283",6746 3213,6746 3215,mfc@pacific.net.sg
8,Megaphonics & Enrichment Centre,"Blk 637 Bukit Batok Central #01-12 (2nd Storey), 650637",6569 1757,6569 1757,megaphonicsctr@gmail.com
9,Mercu Learning Point,"(Main) 150 Changi Road #04-06/07 Guthrie Building, 419973",6346 8301,6346 1172,enquiry@merculearning.com
10,Metamorphosis Education Centre,"Blk 340 Ang Mo Kio Avenue 1 #01-1687, 560340",6456 0400,,fondrachua@hotmail.com
11,Methodist School of Music,"496 Upper Bukit Timah Road #03-20 Block 1, 678099",6767 5258,6767 4082,msm@msmusic.edu.sg
12,Microkid Learning Centre,"5 Stadium Walk #03-05 Leisure Park Kallang, 397693",6345 5376,,syn@hotmail.sg
13,Mighty Thinkers Learning Centre,"Blk 153 Bukit Batok Street 11 #03-284, 650153",6896 1145,6561 5793,sgp_kelly@yahoo.com
14,Mighty Tikes Learning Centre,"Blk 338 Ang Mo Kio Avenue 1 #01-1647, 560338",6358 0383,,mtclucytan@gmail.com
15,Milagros de Montessori School,"Blk 21 Queen's Close #01-141, 140021",6471 3677,6471 3677,enquire@milagrosmontessori.com
16,Mile Bug Excel In Learning Education Centre,"74 Lorong 27 Geylang, 388193",6741 7898,6741 7898,nicholas.phua@gmail.com
17,Milestones Education Centre,"Blk 102 Yishun Avenue 5 #03-127, 760102",6758 0482,,milestones.edu.ctr@gmail.com
18,Mind Centre for Learning,"Blk 265 Serangoon Central Drive #04-267, 550265",6285 5891,,all@mindcentre.com.sg
19,Mind Matters Education Centre,"(Main) Blk 900 South Woodlands Drive #05-01 Woodlands Civic Centre, 730900",6893 8908,6891 3265,enquiry@mindmatters.com.sg
20,Mind Matters Education Centre,"154 West Coast Road #01-67 West Coast Plaza, 127371",6777 8395,6777 8424,enquiry@mindmatters.com.sg
1,Mind Matters Education Centre,"1187 Upper Serangoon Road #01-27 The Midtown, 533971",9457 3777,,enquiry@mindmatters.com.sg
2,Mind On Education Learning Centre,"365 Commonwealth Avenue #02-07/10 Queenstown Community Centre, 149732",6471 1174,,ladfield@gmail.com
3,Mind Stretcher Learning Centre,"Blk 510 Bishan Street 13 #03-01, 570510",6250 0050,,bishan@mindstretcher.com
4,Mind Stretcher Learning Centre (Balmoral),"271 Bukit Timah Road #03-07 Balmoral Plaza, 259708",6904 3646,,balmoral@mindstretcher.com
5,Mind Stretcher Learning Centre (Bukit Batok Central),"Blk 634, Bukit Batok Central #01-102, 650634",6612 8991,,bukitbatok@mindstretcher.com
6,Mind Stretcher Learning Centre (Bukit Panjang),"1 Jelebu Road #04-14 Bukit Panjang Plaza, 677743",6893 0050,,bukitpanjang@mindstretcher.com
7,Mind Stretcher Learning Centre (Hougang) [fka Mind Stretcher Learning Centre (Serangoon North)],"1 Hougang Street 91 #01-42 Hougang 1, 538692",6881 0020,,hougang@mindstretcher.com
8,Mind Stretcher Learning Centre (Marine Parade),"1 Marine Parade Central #12-08/09 Parkway Centre, 449408",6636 0010,,marineparade@mindstretcher.com
9,Mind Stretcher Learning Centre (Punggol Central),"83 Punggol Central #02-02 Watertown, 828761",6228 9200,,punggol.central@mindstretcher.com
10,Mind Stretcher Learning Centre (Punggol),"Blk 168 Punggol Field #04-06 Punggol Plaza, 820168",6553 1995  / 8112 2347,,punggol@mindstretcher.com
11,Mind Stretcher Learning Centre (Seletar),"33 Sengkang West Avenue #04-04/05/06/07 The Seletar Mall, 797653",6341 6066,,seletar@mindstretcher.com
12,Mind Stretcher Learning Centre (Sembawang),"Blk 355 Sembawang Way #02-04, 750355",6752 0200,6752 0700,sembawang@mindstretcher.com
13,Mind Stretcher Learning Centre (Tampines 1),"300 Tampines Avenue 5 #09-03/04/05/06 NTUC Income Tampines Junction, 529653",6781 0030,,east.campus@mindstretcher.com
14,Mind Stretcher Learning Centre (Toa Payoh),"Blk 530 Lorong 6 Toa Payoh #02-06, 310530",6258 0200,,toapayoh@mindstretcher.com
15,Mind Stretcher Learning Centre (West Campus) [fka Mind Stretcher Learning Centre (Jurong East)],"3151 Commonwealth Avenue West #02-11/12 & #03-01 Grantral Mall @ Clementi, 129581",6684 0060,,west.campus@mindstretcher.com
16,Mind Stretcher Learning Centre (Woodlands Central),"900 South Woodlands Drive #04-02 Woodlands Civic Centre, 730900",6737 0030,,woodlands@mindstretcher.com
17,Mind Stretcher Learning Centre (Yew Tee),"21 Choa Chu Kang North 6 #01-09/10 YewTee Point, 689578",6465 0100,,yewtee@mindstretcher.com
18,Mind Stretcher Learning Centre (Yishun),"1 Yishun Avenue 9 #03-04/06 Nee Soon East Community Club, 768893",6752 0200,,yishun@mindstretcher.com
19,MindChamps Enrichment Academy [fka MindChamps Education Coaching Academy],"6 Raffles Boulevard #04-100 Marina Square, 039594",6828 2671,6828 2699,jevonsyip@mindchamps.org
20,Mindsetters Academy,"19 Tanglin Road #03-43 Tanglin Shopping Centre, 247909",6206 9749,,info@mindsetters.sg
1,Minerva Education Centre,"110 Middle Road #07-01A Chiat Hong Building, 188968",6345 8026,,mesys16sg@gmail.com
2,Miracle Learning Centre,"144 Upper Bukit Timah Road #03-01 Beauty World Centre, 588177",6463 8756,,miraclelearning@gmail.com
3,Miracle Math Tuition Centre,"11 Bedok North Street 1 #01-06 Heartbeat@Bedok, 469662",6254 0515,,info@miraclemath.sg
4,Modern Montessori Centre,"Blk 131 Jurong East Street 13 #03-241, 600131",6235 4600,,mmtci@singnet.com.sg
5,Modern Montessori Centre (Franchisee: Chiaravalle Montessori House),"Blk 548 Woodlands Drive 44 #02-14/15 Vista Point, 730548",6893 3321,6893 3329,cmhouse@singnet.com.sg
6,Modern Montessori Centre (Jurong West),"Blk 519 Jurong West Street 52 #01-163, 640519",6565 5055,6896 4650,bobdurgude@yahoo.com.sg
7,Modular Education Centre,"144 Upper Bukit Timah Road #03-26 Beauty World Centre, 588177",6469 4487,,mec.modulareducation.sg@gmail.com
8,Monkey King Education Centre,"21 Hougang Street 51 #02-16 Hougang Green Shopping Mall, 538719",6707 7323,,zyc.chs@gmail.com
9,Morning Glory Learning Hub,"Blk 414 Jurong West Street 42 #01-799, 640414",8201 5284,,theeba14111982@gmail.com
10,Morris Allen Study Centre,"(Main) Blk 205 Hougang Street 21 #04-02 Heartland Mall-Kovan, 530205",6282 2868,6282 2865,ric.low@morris-allen.com
11,Morris Allen Study Centre,"1 Jurong West Central 2 #03-07A Jurong Point, 648886",6562 2662,6862 2886,jurong@morris-allen.com.sg
12,Morris Allen Study Centre,"1 Bukit Batok Central Link #05-10 West Mall, 658713",6515 0091,6515 0043,westmall@morris-allen.com.sg
13,Mr. Charles English Learning Centre,"Blk 184 Toa Payoh Central #01-358 (2nd Storey), 310184",8338 5726,,MrCharlesELC@outlook.com
14,MRC Learning Centre (Waterloo),"Blk 261 Waterloo Street #03-21, 180261",6100 0369,6338 2469,waterloo.sg@mymrc.com
15,Mrs Eng's Classroom,"11 Sin Ming Road #01-22 Thomson V Two, 575629",6456 0122,,jc@engclassroom.com
16,Ms Ng's Learning Academy,"Blk 151 Serangoon North Avenue 2 #01-77 (2nd Storey), 550151",6489 1778,,contact@msnglearningacademy.com
17,MuscleMath Learning Centre,"103 Irrawaddy Road #01-21 Royal Square at Novena, 329566",9771 8014,,admin@musclemathtuition.com
18,Music Delight School,"1 Pasir Ris Central Street 3 #05-05, 518457",6585 0960,,info@musicdelight.com.sg
19,Music Lifestyle Enrichment Centre,"6 Eu Tong Sen Street #03-29/30 The Central, 059817",6221 5221,6221 5220,admin@mymusiclifestyle.com
20,Music Sky Academy,"9 Yio Chu Kang Road #01-10 Space @ Kovan, 545523",6282 5651,,musicskyacademy@gmail.com
1,Musical Art Studio,"Blk 462 Crawford Lane #02-59, 190462",6338 2469,,info.musicalartstudio@gmail.com
2,My Bright Education Centre,"Blk 801 Tampines Avenue 4 #01-257 (2nd Storey), 520801",6636 3541,,mybrightedu@gmail.com
3,My EMS Learning Studio [fka Dr Ng Learning Studio],"Blk 18 Lorong 7 Toa Payoh #01-252, 310018",9645 5108,,dnlearningstudio@gmail.com
4,My English  School (Northpoint),"1 Northpoint Drive #02-163 Northpoint City, 768019",6817 8377,,northpoint@myenglish.com.sg
5,My English School (Tampines),"1 Tampines Walk #B1-15/16 Our Tampines Hub, 528523",6783 5006,,liewsumin@yahoo.com.sg
6,My Learning Hub,"Blk 684 Hougang Avenue 8 #01-965 (2nd Storey), 530684",6386 8233,,pohchiok@singnet.com.sg
7,My Little Hands Learning Centre,"Blk 106 Yishun Ring Road #01-151 (2nd Storey), 760106",9729 8939,,esther.wong8@hotmail.com
8,N'Rich Learning Centre,"(Main) Blk 203 Hougang Street 21 #01-63 (2nd Storey), 530203",6343 0594,6343 0926,n.richlc@gmail.com
9,N'Rich Learning Centre,"Blk 503 Jurong West Avenue 1 #03-849, 640503",6343 0594,6343 0926,n.richlc@gmail.com
10,Nanyang Yu Cai Tuition Centre,"Blk 133 Jurong Gateway Road #04-301, 600133",6811 3936,,nanyangyucai@yahoo.com
11,Native Hills English Language Centre,"321 Orchard Road #09-01/02 Orchard Shopping Centre, 238866",6735 8330,6294 2722,info@nativehills.com.sg
12,Neuromath Learning Centre,"(Main) 46 East Coast Road #06-06 Eastgate, 428766",6342 5229,,eastgate@neuromathacademy.com
13,New Dawn Learning Studio,"Blk 712 Ang Mo Kio Avenue 6 #03-4056, 560712",6345 8026,,newdawnlearning@gmail.com
14,New Ideas Language School,"Blk 226E Ang Mo Kio Avenue 1 #01-707, 565226",6554 3368,,info@newideaslanguage.com
15,New Nanyang Education Centre,"896 Dunearn Road #04-01 Link@896, 589472",6221 6942,6221 6543,chenglin_cc@hotmail.com
16,Newcastle Education Centre,"(Main) Blk 684 Hougang Avenue 8 #03-967, 530684",6387 5343,,gmk@newcastle.edu.sg
17,Newcastle Education Centre,"11 Bedok North Street 1 #01-15 Heartbeat@Bedok, 469662",6282 7005,,gmk@newcastle.edu.sg
18,Newcastle Education Centre,"Blk 258 Pasir Ris Street 21 #02-07 Loyang Point, 510258",6581 9323,,gmk@newcastle.edu.sg
19,Newcastle Education Centre,"Blk 473 Tampines Street 43 #02-96, 520473",6787 8692,6782 8916,gmk@newcastle.edu.sg
20,Newcastle Education Centre,"Blk 163 Ang Mo Kio Avenue 4 #01-464, 560163",6453 4136,,gmk@newcastle.edu.sg
1,Newcastle Education Centre,"598 Yishun Ring Road #B1-17 Wisteria Mall, 768698",6694 1810,,gmk@newcastle.edu.sg
2,Newcastle Learning Hub,"11 Bedok North Street 1 #01-15 Heartbeat@Bedok, 469662",9757 8916,,gmk@newcastle.edu.sg
3,Newtonapple Learning Hub,"Blk 131 Jurong East Street 13 #03-267, 600131",6567 3606,,contact@newtonapple.com.sg
4,Northern Language School,"(Main) Blk 256 Bangkit Road #02-73, 670256",6766 3346,6766 3346,tianyuanty@hotmail.com
5,Northern Language School,"Blk 815 Jurong West Street 81 #B1-222, 640815",6794 9654,,northernlanguageschool@gmail.com
6,Norwegian Supplementary School (Singapore) [fka Norwegian Supplementary School],"25F Paterson Road, 238515",6738 5661,6738 5662,
7,Novel Learning Centre,"(Main) 3151 Commonwealth Avenue West #02-10/11/12 Cityvibe, 129581",6732 7115,,novel@novel-learning.com
8,Novelty Learning Centre,"Blk 638 Jurong West Street 61 #02-14/15, 640638",6792 4719,,
9,Number Skill Learning Centre,"170 Upper Bukit Timah Road #B1-15 Bukit Timah Shopping Centre, 588179",6346 6879,6344 4193,admin@numberskill.com
10,NumberWorks'nWords Learning Centre,"1 Marine Parade Central #06-08 Parkway Centre, 449408",6348 8028,,marineparade@numberworks.com
11,Nurture Educational Centre,"Blk 208 Hougang Street 21 #03-205, 530208",9001 6674,,enquiries@nurtureeducation.com
12,Nurture Learning Land,"Blk 143 Teck Whye Lane #01-229, 2nd Storey, 680143",6766 6697,6766 6697,never_be_replaced@hotmail.com
13,Nurturing Talents Education Centre,"Blk 574 Ang Mo Kio Avenue 10 #01-1829, 560574",6457 6488,,supervisor@nurturingtalents.com
14,Odyssey Learning Center,"Blk 144 Tampines Street 12 #01-398, 521144",6782 4893,,tanjiajia629@gmail.com
15,One.Tuition Place [fka Geniusmind Learninghouse],"Blk 203 Hougang Street 21 #03-55, 530203",9679 0479,,one.tuitionplace@gmail.com
16,Oodles Learning Centre (UT),"200 Upper Thomson Road #01-09 Thomson Imperial Court, 574424",6254 0515,,samuel@onsponge.com
17,Optimal Learning Hub,"Blk 451 Hougang Avenue 10 #B1-553, 530451",6386 3803,6387 3414,trainno98@yahoo.com.sg
18,Opus One Music School,"Blk 169 Stirling Road #01-1157, 140169",6473 7383,6473 7380,opusone@pacific.net.sg
19,Orbit Academic Centre,"51 Cuppage Road #07-18/19, 229469",6337 3132,,sgoto@world-edu.com.sg
20,Origin Academy,"767 Upper Serangoon Road #02-07 Spazio@Kovan, 534635",ullaschandranp@yahoo.com,,
1,Orion Tuition Centre,"Blk 101 Yishun Avenue 5 #01-95 (2nd Storey), 760101",6219 2963,,enquiry@oriontuition.com.sg
2,Ossia Music School [fka Ossia Music School (Bukit Timah)],"Blk 259 Pasir Ris Street 21 #02-31 Loyang Point, 510259",6583 8936,,pr@ossia.edu.sg
3,Ossia Music School [fka Ossia Music School (Bukit Timah)],"Blk 866A Tampines Street 83 #03-02, 521866",6786 8193,6785 7293,tp@ossia.edu.sg
4,Ossia Music School [fka Ossia Music School (Bukit Timah)],"2 Bukit Batok West Avenue 7 #01-04, 659003",6334 3385,,Enquiry@ossia.edu.sg
5,Our Learning Lodge,"Blk 813 Jurong West Street 81 #B1-184, 640813",6861 1233,,contact.us@ourlearninglodge.com
6,Oxford Language Academy,"15 Enggor Street #10-03 Realty Centre, 079716",6734 8734,,enquiries@oi.edu.sg
7,Oxley Education Centre,"Blk 523 Serangoon North Avenue 4 #B1-30, 550523",6280 3661,,Tay_freddy@hotmail.com
8,Pact Intellect Learning Centre,"Blk 1 Thomson Road #03-330E Balestier Hill Shopping Centre, 300001",6253 5788,6253 5288,pact_intellect@singnet.com.sg
9,Palais Dance Studio,"557 Bukit Timah Road #02-16/18 Crown Centre, 269694",6467 7788,,
10,Parkway Learning Centre,"1 Marine Parade Central #09-07 Parkway Centre, 449408",6344 0950,6344 0950,kumonparkwaycentre@gmail.com
11,Patrick Tuition Centre,"Blk 265 Serangoon Central Drive #04-265, 550265",6284 3602,,
12,PCME Academy,"587 Bukit Timah Road #03-01B Coronation Plaza, 269707",9337 9207,,timothy@aosh.sg
13,Pebbles' Language Center,"Blk 304 Ubi Avenue 1 #01-129, 400304",6747 6306,,chiangmk@hotmail.com
14,Phang Education Centre,"Blk 507 Bishan Street 11 #01-398 (2nd Storey), 570507",6275 6800,,Pyuhon@gmail.com
15,Physics Recipe Tuition Centre,"587 Bukit Timah Road #03-40 Coronation Plaza, 269707",9688 2063,,physicsrecipetuition@gmail.com
16,Pong Music School,"120 Pasir Ris Central #01-05, 519640",6587 6580,,pongmusicschool@gmail.com
17,Power Mathematics Education Centre,"150 Orchard Road #05-36 Orchard Plaza, 238841",9070 0735,,leonwuzhenyu@yahoo.com
18,Practice Performing Arts School,"c/o 155 Waterloo Street #02-06 Stamford Arts Centre, 187962",6337 2525,6337 0779,ttpeducation@practice.org.sg
19,Preeminent Tuition Centre,"865 Mountbatten Road #02-47 Katong Shopping Centre, 437844",6348 7718,,preeminenttc@gmail.com
20,Prelude Music Studio,"10 Sinaran Drive #04-50/51 Square 2, 307506",6250 5550,6250 5550,preludemssg@gmail.com
1,Promiseland Learning Hub,"Blk 453 Hougang Avenue 10 #B1-583, 530453",6386 3889,6386 3879,promiseland@singnet.com.sg
2,Protor Tuition Centre,"557 Bukit Timah Road #02-04 Crown Centre, 269694",6466 4940,6466 4940,
3,Psalms Music School,"Blk 146 Potong Pasir Avenue 1 #02-141, 350146",6289 3200,6289 3200,psalmssg@gmail.com
4,Public Speaking Academy,"1A Tampines Street 92 #01-13B SAFRA Tampines Clubhouse, 528882",6280 2829,6280 2829,publicspeakingacademy@hotmail.com
5,Queening Education Centre,"10 Sinaran Drive #03-26 Square 2, 307506",6397 7083,6397 7082,bruce7832@hotmail.com
6,Radiance Training Centre,"Blk 501 Jurong West Street 51 #04-255, 640501",6567 6730,6569 1942,
7,Rain Trees International Kindergarten [fka Rain Trees Kindergarten],"60 Kheam Hock Road, 298824",6474 6181,,admin@raintreeskindergarten.com
8,Raymond's Math & Science Studio [fka Raymond's Math Studio],"(Main) 85 East Coast Road, 2nd Storey, 428787",6222 8222,,admin@raymondmath.com
9,Raymond's Math & Science Studio [fka Raymond's Math Studio],"Blk 280 Bishan Street 24 #01-22, 570280",6222 8222,,admin@raymondmath.com
10,Regent Music Centre,"3 Coleman Street #03-19 Peninsula Shopping Centre, 179804",6339 0620,6339 0620,regent_music@yahoo.com.sg
11,RG Channel Future School,"50 East Coast Road #02-113/114/115 Roxy Square, 428769",6344 3398,,richard@rgchannel.edu.sg
12,Right Track Learning Centre,"Blk 724 Jurong West Street 72 #B1-13, 640724",6316 0089,,yasminkamal77@gmail.com
13,Rising Achievers Learning and Enrichment Centre,"Blk 505 West Coast Drive #01-218, 120505",6681 5683,,Gladys.hoym@hotmail.com
14,River Valley - UE Square Learning Centre,"81 Clemenceau Avenue #03-14 UE Square, 239917",6238 0040,,rivervalleykumon@gmail.com
15,Roots and Shoots Education Hub,"170 Upper Bukit Timah Road #11-04 Bukit Timah Shopping Centre, 588179",9639 7517,,michelle@eeekonomics.com
16,Rosemount Kindergarten,"25 Ettrick Terrace, 458588",6446 4636,6444 4075,school@rosemount.com.sg
17,Saakshar Language Centre,"19 Tanglin Road #06-29/30 Tanglin Shopping Centre, 247909",6680 0465,,hindi.saakshar@gmail.com
18,Saintly Education Centre,"190 Middle Road #03-09 Fortune Centre, 188979",6280 0336,,amyfusec@gmail.com
19,SAM Jurong Learning Centre,"Blk 134 Jurong Gateway Road #03-307B, 600134",6899 9302,,enquiryjurong@seriouslyaddictivemaths.com.sg
20,Saraswati Tuition Center,"Blk 271 Bukit Batok East Avenue 4 #01-142, 650271",9237 3286,,Saraswatiedcon@gmail.com
1,School of Einsteins,"Blk 151 Ang Mo Kio Avenue 5 #01-3042, 560151",9111 3733,,chktan76@gmail.com
2,"School of the Arts, Singapore","1 Zubir Said Drive, 227968",6338 9663,6338 9763,enquiries@sota.edu.sg
3,Schoolwerks Education Centre,"1187 Upper Serangoon Road #02-28 The Midtown, 533971",9117 2152,,edwinyeo22@hotmail.com
4,Science Studios Learning Centre,"1 Jalan Anak Bukit #02-24E Bukit Timah Plaza, 588996",6737 2720,,admin@sciencestudios.com.sg
5,Seeds Learning Centre [fka Seeds D'Learning House],"252 Tembeling Road #02-07 Tembeling Centre, 423731",6247 7271,6247 9765,carinaongah@yahoo.com.sg
6,Seimpi School of Music,"(Main) 176 Orchard Road #03-26 The Centrepoint, 238843",6737 6731,6737 6031,info@seimpi-music.com.sg
